Character,Probability
-,0.00661445895011536
.,0.08639988190166885
0,0.0012151111894200405
1,0.0020484663487218314
2,0.002020687843411772
3,0.001446863290863967
4,0.0013809885497001113
5,0.0009452628521223175
6,0.0009039919299473716
7,0.000989708460618413
8,0.001078599677610604
9,0.0008270057866594919
_,1.5873431605748405e-06
a,0.06431120815068966
b,0.018984624200475093
c,0.07474243373040723
d,0.028241215841367275
e,0.07593532211557921
f,0.012437627334684162
g,0.02291726688079926
h,0.016929014807530673
i,0.054250627198966325
j,0.004648534445743421
k,0.014385297392709492
l,0.034396932618076505
m,0.06460566030697629
n,0.05208311011320138
o,0.10068438300368185
p,0.025676862965458618
q,0.001512738032027823
r,0.05281725632496724
s,0.04702027910254793
t,0.0523275609599299
u,0.02807295746634634
v,0.01301065821565168
w,0.009772478168079005
x,0.006725572971355599
y,0.01189396230218728
z,0.00574380122654006
